Draft Pick,Player,Team,Position,Manager
1,Mike Trout,LAA,OF,Ed
2,Juan Soto,WSN,OF,Ed
3,Pete Alonso,NYM,1B,Ed
4,Bryce Harper,PHI,OF,Ed
5,Gleyber Torres,NYY,SS,Ed
6,Clayton Kershaw,LAD,SP,Ed
7,Liam Hendriks,CHW,CL,Ed
8,Josh Hader,MIL,CL,Ed
9,Blake Snell,SDP,SP,Ed
10,Salvador Perez,KCR,C,Ed
11,Eugenio Suarez,CIN,SS,Ed
12,Matt Chapman,OAK,3B,Ed
13,Ketel Marte,ARI,OF,Ed
14,Keston Hiura,MIL,1B,Ed
15,Yordan Alvarez,HOU,OF,Ed
16,Giancarlo Stanton,NYY,OF,Ed
17,Hyun Jin Ryu,TOR,SP,Ed
18,Zack Greinke,HOU,SP,Ed
19,Will Smith,ATL,CL,Ed
20,Josh Bell,WSN,1B,Ed
21,Franmil Reyes,CLE,OF,Ed
22,Joc Pederson,CHC,OF,Ed
23,Shohei Ohtani,LAA,OF,Ed
24,Dylan Bundy,LAA,SP,Ed
25,Ke'Bryan Hayes,PIT,3B,Ed
26,Gary Sanchez,NYY,C,Ed
27,Charlie Morton,TBR,SP,Ed
28,Jesse Winker,CIN,OF,Ed
29,James McCann,NYM,C,Ed
30,Corey Kluber,NYY,SP,Ed
31,Domingo German,NYY,SP,Ed
32,Dansby Swanson,ATL,SS,Ed
33,Amir Garrett,CIN,CL,Ed
34,Greg Holland,KCR,RP,Ed
35,Bobby Dalbec,BOS,1B,Ed
36,Adam Wainwright,STL,SP,Ed
37,Jonathan India,CIN,2B,Ed
38,Cesar Hernandez,CLE,2B,Ed
39,Justin Upton,LAA,OF,Ed
40,Tommy Edman,STL,2B,Ed
