Draft Pick,Player,Team,Position,Manager
1,Gerrit Cole,NYY,SP,Gilland
2,Jacob de Grom,NYM,SP,Gilland
3,Trevor Story,COL,SS,Gilland
4,Corey Seager,LAD,SS,Gilland
5,Alex Bregman,HOU,3B,Gilland
6,Marcell Ozuna,ATL,OF,Gilland
7,Ozzie Albies,ATL,2B,Gilland
8,Kyle Tucker,HOU,OF,Gilland
9,Jose Abreu,CHW,1B,Gilland
10,Brandon Woodruff,MIL,SP,Gilland
11,Luke Voit,NYY,1B,Gilland
12,Edwin Diaz,NYM,RP,Gilland
13,Brandon Lowe,TBR,2B,Gilland
14,Paul Goldschmidt,STL,1B,Gilland
15,James Karinchak ,CLE,CL,Gilland
16,Charlie Blackmon,COL,OF,Gilland
17,Nick Castellanos,CIN,OF,Gilland
18,Zack Wheeler,PHI,SP,Gilland
19,Drew Pomeranz,SDP,RP,Gilland
20,Lance Lynn,CHW,SP,Gilland
21,Yasmani Grandal,CHW,C,Gilland
22,Max Fried,ATL,SP,Gilland
23,Starling Marte,MIA,OF,Gilland
24,Alec Bohm,PHI,3B,Gilland
25,Chris Paddack,SDP,SP,Gilland
26,Joakim Soria,ARI,CL,Gilland
27,Austin Nola,SDP,C,Gilland
28,Richard Rodriguez,DET,CL,Gilland
29,Taylor Rodgers,MIN,CL,Gilland
30,Adalberto Mondesi,KCR,SS,Gilland
31,Emilio Pagan,SDP,RP,Gilland
32,Anthony Santander,BAL,OF,Gilland
33,Mitch Garver,MIN,C,Gilland
34,Ramon Laureano,OAK,OF,Gilland
35,Sixto Sanchez,MIA,SP,Gilland
36,A J Pollock,LAD,OF,Gilland
37,Austin Riley,ATL,3B,Gilland
38,Jonathan Schoop,DET,2B,Gilland
39,Archie Bradley,PHI,CL,Gilland
40,Hector Neris,PHI,RP,Gilland
