Draft Pick,Player,Team,Position,Manager
1,"Fernando Tatis, Jr.",SDP,SS,Gross
2,Joes Ramirez,CLE,3B,Gross
3,J.T. Realmuto,PHI,C,Gross
4,Freddie Freeman,ATL,1B,Gross
5,Trea Turner,WSN,SS,Gross
6,Aaron Judge,NYY,OF,Gross
7,Yu Darvish,SDP,SP,Gross
8,Jose Altuve,HOU,2B,Gross
9,Nolan Arenado,COL,3B,Gross
10,Jack Flaherty,STL,SP,Gross
11,Raisel Iglesias,LAA,RP,Gross
12,George Springer,TOR,OF,Gross
13,Kenta Maeda,MIN,SP,Gross
14,Nelson Cruz,MIN,OF,Gross
15,Michael Comforto,NYM,OF,Gross
16,Wilson Contreras,CHC,C,Gross
17,Max Muncy,LAD,1B,Gross
18,Rafael Montero,SEA,RP,Gross
19,Eddie Rosario,CLE,OF,Gross
20,Alex Colome,MIN,RP,Gross
21,Jose Berrios,MIN,SP,Gross
22,Lourdes Gurriel,TOR,OF,Gross
23,Stephen Strasburg,WSN,SP,Gross
24,Craig Kimbrel,CHC,RP,Gross
25,Julio Urias,LAD,SP,Gross
26,Sonny Gray,CIN,SP,Gross
27,Daniel Bard,COL,RP,Gross
28,Javier Baez,CHC,SS,Gross
29,Dominic Smith,NYM,OF,Gross
30,Jean Segura,PHI,2B,Gross
31,Jake Mcgee,SFG,RP,Gross
32,Andrew McCuthcheon,PHI,OF,Gross
33,Nick Madrigal,CHW,2B,Gross
34,Tyler Duffey,MIN,RP,Gross
35,Jake Diekman,OAK,RP,Gross
36,Carson Kelly,ARI,C,Gross
37,Alex Verdugo,BOS,OF,Gross
38,Kyle Seager,SEA,3B,Gross
39,Zach Plesac,CLE,SP,Gross
40,Jordan Montgomery,NYY,SP,Gross
