Draft Pick,Player,Team,Position,Manager,
1,Mookie Betts,LAD,OF,Patrick,check
2,Trevor Bauer,LAD,SP,Patrick,check
3,Francisco Lindor,NYM,SS,Patrick,
4,DJ LeMahieu,NYY,2B,Patrick,check
5,Walker Buehler,LAD,SP,Patrick,check
6,Max Scherzer,WSN,SP,Patrick,
7,Anthony Rendon,LAA,3B,Patrick,check
8,Aaron Nola,PHI,SP,Patrick,check
9,Will Smith,LAD,C,Patrick,check
10,Aroldis Chapman,NYY,CL,Patrick,check
11,Devin Williams,MIL,RP,Patrick,check
12,Vladimir Guerrero Jr.,TOR,1B/OF,Patrick,check
13,Whit Merrifield,KCR,OF/2B,Patrick,check
14,Trevor Rosenthal,OAK,RP/CL,Patrick,check
15,Tyler Glasnow,TBR,SP,Patrick,check
16,Trent Grisham,SDP,OF,Patrick,check
17,Tim Anderson,CHW,SS,Patrick,check
18,Brad Hand,WSN,RP/CL,Patrick,
19,Anthony Rizzo,CHC,1B,Patrick,check
20,Mike Moustakas,CIN,2B/3B,Patrick,check
21,Wil Myers,SDP,OF,Patrick,check
22,Kris Bryant,CHC,3B,Patrick,check
23,Mike Yastrzemski,SFG,OF,Patrick,check
24,Dinelson Lamet,SDP,SP,Patrick,check
25,Travis d'Arnaud,ATL,C,Patrick,check
26,Michael Brantley,HOU,OF,Patrick,check
27,Ian Happ,CHC,OF,Patrick,check
28,Joey Gallo,TEX,OF,Patrick,check
29,Kyle Schwarber ,WSN,OF,Patrick,
30,Kyle Hendricks,CHC,SP,Patrick,check
31,Rhys Hoskins,PHI,1B,Patrick,check
32,Kyle Lewis,SEA,OF,Patrick,check
33,Carlos Correa,HOU,SS,Patrick,check
34,Gio Urshela,NYY,3B,Patrick,check
35,Patrick Corbin,WSN,SP,Patrick,
36,Adam Ottavino,BOS,RP/CL,Patrick,
37,Jonathan India,CIN,3B/2B,Patrick,check
38,Cesar Hernandez,CLE,2B,Patrick,check
39,Freddy Peralta,MIL,RP/CL,Patrick,check
40,German Marquez,COL,SP,Patrick,check
